family,name,cap-diameter,cap-shape,Cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-color,has-ring,ring-type,Spore-print-color,habitat,season,class
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,p
1,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,1,1,2,p
1,3,3,1,3,3,1,1,1,1,3,2,2,2,1,1,1,3,1,1,2,p
1,4,4,1,3,2,2,2,1,1,4,3,2,2,1,1,1,4,1,1,2,e
1,5,5,1,4,4,1,2,1,1,3,2,2,2,1,1,1,1,1,1,2,p
1,6,6,3,3,5,1,1,1,1,5,4,2,2,2,2,1,4,1,1,2,e
1,7,2,4,5,6,1,1,1,1,6,4,2,1,1,1,1,5,1,1,2,p
1,8,7,5,6,2,1,1,1,1,6,4,2,2,3,1,2,6,1,1,2,e
2,9,8,6,3,7,1,2,1,1,7,5,1,2,4,1,1,7,1,2,2,e
2,10,9,3,7,2,2,1,1,1,8,1,2,2,1,1,1,6,1,3,2,e
2,11,10,7,3,8,1,1,1,2,9,6,2,3,1,1,1,8,1,2,2,p
3,12,10,3,3,9,1,2,1,1,10,6,2,1,5,1,1,9,1,4,2,p
3,13,11,8,3,2,1,3,2,3,11,7,2,4,4,1,2,6,1,5,2,e
3,14,11,3,3,10,1,2,2,4,12,8,2,2,1,1,2,6,1,1,1,e
3,15,4,8,3,11,1,4,1,5,13,5,2,2,6,1,2,6,1,6,3,e
3,16,5,9,3,3,1,4,1,6,14,5,2,2,7,1,2,6,1,3,3,e
3,17,12,9,8,3,1,3,1,1,15,9,1,2,1,1,2,6,1,6,3,e
3,18,7,1,3,3,1,5,1,7,10,10,2,2,4,1,2,6,1,6,3,p
3,19,7,10,3,2,1,5,1,1,16,11,2,2,1,1,2,6,1,7,2,e
3,20,13,3,3,12,1,3,1,8,12,12,2,2,8,1,2,6,1,6,2,e
3,21,14,9,9,13,1,5,1,1,17,12,2,2,1,1,2,6,1,8,2,p
3,22,13,11,10,14,1,6,2,9,12,13,2,2,9,1,2,6,1,6,2,p
3,23,10,11,11,15,1,6,1,7,9,14,2,5,4,1,2,6,1,6,2,p
3,24,10,1,3,16,1,6,1,3,2,15,2,2,10,1,2,6,1,6,2,p
3,25,7,1,9,15,1,6,1,1,18,10,2,2,4,1,2,6,1,9,3,e
3,26,15,1,3,7,1,6,1,1,8,16,3,4,1,1,2,6,1,10,2,p
3,27,10,4,2,17,1,6,2,1,9,14,2,2,11,1,2,6,1,8,2,e
3,28,16,3,2,6,1,2,2,1,17,17,2,2,12,1,2,6,1,6,2,p
3,29,17,3,2,18,1,2,1,10,19,18,2,6,13,1,2,6,1,1,4,p
3,30,18,7,2,19,1,2,2,11,20,7,2,2,14,1,2,6,1,1,4,e
3,31,19,4,3,3,1,2,1,11,21,19,2,2,15,1,2,6,1,1,2,p
3,32,20,3,2,20,1,2,1,12,14,20,2,2,16,1,2,6,1,1,2,p
3,33,21,12,2,2,1,2,1,13,21,17,2,2,17,1,2,6,1,6,2,e
3,34,22,13,2,21,2,2,1,14,10,18,2,2,4,1,2,6,1,10,2,e
3,35,10,14,12,22,1,2,1,15,20,21,2,2,7,1,2,6,1,6,2,p
3,36,21,3,13,23,1,3,1,1,12,22,2,7,11,1,2,6,1,11,2,e
3,37,23,3,2,24,1,2,1,16,22,23,2,2,2,1,2,6,1,1,2,p
3,38,23,1,3,25,1,5,1,17,9,18,2,2,18,1,2,6,2,8,2,p
3,39,21,3,2,23,1,5,2,18,23,20,2,2,4,1,2,6,1,10,2,p
3,40,24,1,14,21,1,6,1,1,24,12,3,8,4,1,2,6,1,1,2,p
3,41,7,3,6,3,1,2,2,18,12,24,2,7,19,1,1,10,1,1,1,e
3,42,25,1,6,26,1,2,2,7,11,21,2,9,20,1,2,6,1,1,5,e
3,43,4,1,9,27,1,3,2,1,25,2,2,4,4,1,1,6,2,1,1,e
